sequence,module,level,type,identifier,name,datatype,multiplicity,value_domain,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
11,cor,3,A,,Period Covered Start,Date Time,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,CO10-09,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodCoveredStart,cor,Document Information,periodCoveredStart,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:periodCoveredStart
12,cor,3,A,,Period Covered End,Date Time,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,CO10-10,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodCoveredEnd,cor,Document Information,periodCoveredEnd,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:periodCoveredEnd
13,cor,3,A,,Period Count,Decimal,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,CO10-11,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodCount,cor,Document Information,periodCount,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:periodCount
14,cor,3,A,,Period Unit,Token,0..1,Period_Unit,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",期間単位,"periodCountで対象とする期間の種別。_x000D_
[設定値のリスト]_x000D_
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",CO10-12,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodUnit,cor,Document Information,periodUnit,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:periodUnit
15,cor,3,A,,Period Unit Description,String,0..1,,Free format description of the period unit,期間単位説明,対象期間単位の説明。,CO10-13,$.btx_BusinessTransactions.btx_DocumentInformation.cor_PeriodUnitDescription,cor,Document Information,periodUnitDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:periodUnitDescription
16,cor,3,A,,Source Application,String,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,CO10-14,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SourceApplication,cor,Document Information,sourceApplication,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:sourceApplication
17,cor,3,A,,Target Application,String,0..1,,Particular use for which file was generated.,対象アプリケーション,ファイルが作成された用途。,CO10-15,$.btx_BusinessTransactions.btx_DocumentInformation.cor_TargetApplication,cor,Document Information,targetApplication,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:targetApplication
18,cor,3,A,,Default Currency,QName,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,CO10-16,$.btx_BusinessTransactions.btx_DocumentInformation.cor_DefaultCurrency,cor,Document Information,defaultCurrency,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-cor:defaultCurrency
19,lnk,3,C,,Summary Reporting Taxonomies,,0..*,,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,CO10-17,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomies,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies
20,lnk,4,A,,Summary Reporting Taxonomy ID,String,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,LN02-01,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyID,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomyId,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies/gl-lnk:summaryReportingTaxonomyId
21,lnk,4,A,,Summary Reporting Taxonomy Schema Reference Href Attribute,String,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,LN02-02,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomySchemaReferenceHrefAttribute,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomySchemaReferenceHrefAttribute,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies/gl-lnk:summaryReportingTaxonomySchemaReferenceHrefAttribute
22,lnk,4,A,,Summary Reporting Taxonomy Header,String,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,LN02-03,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyHeader,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomyHeader,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies/gl-lnk:summaryReportingTaxonomyHeader
23,lnk,4,A,,Summary Reporting Taxonomy Description,String,0..1,,A description of the taxonomy for human use.,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,LN02-04,$.btx_BusinessTransactions.btx_DocumentInformation.cor_SummaryReportingTaxonomies.lnk_SummaryReportingTaxonomyDescription,lnk,Summary Reporting Taxonomies,summaryReportingTaxonomyDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-cor:documentInformation/gl-lnk:summaryReportingTaxonomies/gl-lnk:summaryReportingTaxonomyDescription
24,btx,2,C,,Entity_ Party,,0..1,,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,BT10-02,$.btx_BusinessTransactions.btx_EntityParty,btx,Entity_ Party,entityParty,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty
25,btx,3,A,,Party Name,String,0..1,,Name of the party,,,BT19-01,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyName,btx,Entity_ Party,partyName,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-btx:partyName
26,btx,3,A,,Party ID,String,0..1,,ID Number of the party,,,BT19-02,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyID,btx,Entity_ Party,partyId,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-btx:partyId
27,btx,3,A,,Party Business Description,String,0..1,,Description of the nature of the business of the party.,業種説明,事業体の事業の種類についての説明。,BT19-03,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyBusinessDescription,btx,Entity_ Party,partyBusinessDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-btx:partyBusinessDescription
28,bus,3,C,,Party_ Phone,,0..*,,Primary phone number of the party.,【事業体電話番号】,事業体の主要電話番号情報。,BT19-04,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyPhone,bus,Party_ Phone,partyPhone,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyPhone
29,bus,4,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,BU01-01,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyPhone.bus_PhoneNumber,bus,Party_ Phone,entityPhoneNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyPhone/gl-bus:entityPhoneNumber
30,bus,4,A,,Phone Number Description,String,0..1,Phone_Number_Type,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU01-02,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyPhone.bus_PhoneNumberDescription,bus,Party_ Phone,entityPhoneNumberDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyPhone/gl-bus:entityPhoneNumberDescription
31,bus,3,C,,Party_ Fax,,0..*,,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,BT19-05,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyFax,bus,Party_ Fax,partyFax,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyFax
32,bus,4,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,BU06-01,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyFax.bus_FaxNumber,bus,Party_ Fax,entityFaxNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyFax/gl-bus:entityFaxNumber
33,bus,4,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),BU06-02,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyFax.bus_FaxNumberUsage,bus,Party_ Fax,entityFaxNumberUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyFax/gl-bus:entityFaxNumberUsage
34,bus,3,C,,Party_ Email,,0..*,,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,BT19-06,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyEmail,bus,Party_ Email,partyEmail,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyEmail
35,bus,4,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,BU11-01,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyEmail.bus_EmailAddress,bus,Party_ Email,entityEmailAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyEmail/gl-bus:entityEmailAddress
36,bus,4,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),BU11-02,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyEmail.bus_EmailAddressUsage,bus,Party_ Email,entityEmailAddressUsage,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyEmail/gl-bus:entityEmailAddressUsage
37,bus,3,C,,Registered_ Organization Identifier,,0..*,,Class which contains various identifiers for theparty.,【識別子】,組織に関する様々な識別子を含むセクション。,BT19-07,$.btx_BusinessTransactions.btx_EntityParty.btx_RegisteredOrganizationIdentifier,bus,Organization Identifier,registeredOrganizationIdentifier,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:registeredOrganizationIdentifier
38,bus,4,A,PK,Organization Identifier Code,String,0..1,,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,BU30-01,$.btx_BusinessTransactions.btx_EntityParty.btx_RegisteredOrganizationIdentifier.bus_OrganizationIdentifierCode,bus,Organization Identifier,organizationIdentifierCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:registeredOrganizationIdentifier/gl-bus:organizationIdentifierCode
39,bus,4,A,,Organization Identifier Description,String,0..1,,Text describing the organization identified by the organization identifier. Includes any relevant information about the code itself (e.g. issuing authority).,事業体説明,事業体識別子によって特定された組織の説明文。 コードに関するなんらかの記述情報。,BU30-02,$.btx_BusinessTransactions.btx_EntityParty.btx_RegisteredOrganizationIdentifier.bus_OrganizationIdentifierDescription,bus,Organization Identifier,organizationIdentifierDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:registeredOrganizationIdentifier/gl-bus:organizationIdentifierDescription
40,bus,3,C,,Party_ Address,,0..*,,Address class for the party,【住所】,報告事業体の住所構造体。,BT19-08,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress,bus,Party_ Address,partyAddress,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress
41,bus,4,A,,Name,String,0..1,,Address Name,住所名,住所の名前。,BU21-01,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_Name,bus,Party_ Address,entityAddressName,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressName
42,bus,4,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,BU21-02,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_Description,bus,Party_ Address,entityAddressDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressDescription
43,bus,4,A,,Purpose,String,0..1,Address_Purpose,Address Purpose,住所目的,住所の目的。,BU21-03,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_Purpose,bus,Party_ Address,entityAddressPurpose,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressPurpose
44,bus,4,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,BU21-04,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_LocationID,bus,Party_ Address,entityAddressLocationId,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressLocationId
45,bus,4,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,BU21-05,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_BuildingNumber,bus,Party_ Address,entityAddressBuildingNumber,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressBuildingNumber
46,bus,4,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,BU21-06,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_Street,bus,Party_ Address,entityAddressStreet,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressStreet
47,bus,4,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,BU21-07,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_AddressDetail,bus,Party_ Address,entityAddressDetail,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressDetail
48,bus,4,A,,City,String,0..1,,City,住所都市,住所の都市。,BU21-08,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_City,bus,Party_ Address,entityAddressCity,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressCity
49,bus,4,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,BU21-09,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_StateorProvince,bus,Party_ Address,entityAddressStateOrProvince,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressStateOrProvince
50,bus,4,A,,Country,String,0..1,,Country,住所国,住所の国。,BU21-10,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_Country,bus,Party_ Address,entityAddressCountry,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressCountry
51,bus,4,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,BU21-11,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_ZiporPostalCode,bus,Party_ Address,entityAddressZipOrPostalCode,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressZipOrPostalCode
52,bus,4,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,BU21-12,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyAddress.bus_ActiveIndicator,bus,Party_ Address,entityAddressActiveIndicator,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyAddress/gl-bus:entityAddressActiveIndicator
53,bus,3,C,,Party_ Web Site,,0..*,,Primary web site of the party.,【事業体Webサイト】,事業体の代表ウェブサイト。,BT19-09,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyWebSite,bus,Party_ Web Site,partyWebSite,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyWebSite
54,bus,4,A,PK,Web Site URL,anyURI,0..1,,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,BU16-01,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyWebSite.bus_WebSiteURL,bus,Party_ Web Site,entityWebSiteUrl,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyWebSite/gl-bus:entityWebSiteUrl
55,bus,4,A,,Web Site Description,String,0..1,,Description of the web site.,Webサイト説明,ウェブサイトの説明。,BU16-02,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyWebSite.bus_WebSiteDescription,bus,Party_ Web Site,entityWebSiteDescription,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyWebSite/gl-bus:entityWebSiteDescription
56,bus,3,C,,Party_ Contact,,0..*,,Information about contacts.,【担当者情報】,担当者に関する情報。,BT19-10,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyContact,bus,Party_ Contact,partyContact,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyContact
57,bus,4,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),BU22-01,$.btx_BusinessTransactions.btx_EntityParty.btx_PartyContact.bus_ContactPrefix,bus,Party_ Contact,entityContactPrefix,/xbrli:xbrl/gl-btx:businessTransactions/gl-btx:entityParty/gl-bus:partyContact/gl-bus:entityContactPrefix
