value_domain_id,name,category,datatype,authority,source_bsm_id,source_semantic_path,definition,extensible,status,review_note
Budget_Allocation,Budget Allocation,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO22-27,$.cor_AccountingEntries.cor_EntryHeader.cor_BudgetAllocationCode,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Comment_Type,Comment Type,shared_value_domain,String,XBRL GL Next / inherited XBRL GL definition,LN01-01,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailRichTextComment.lnk_CommentCode,"An enumerated code that identifies the purpose of the rich text comment. Enumerated values: link_footnote, footnote, source_document, source_journal, batch, other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Costing_Method,Costing Method,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO21-43,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_CostingMethodCode,"An enumerated code for the inventory (or other measurable) costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Debit_Credit,Debit/Credit,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO21-34,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Depreciation_Jurisdiction,Depreciation Jurisdiction,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BU33-01,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDepreciationMortgage.bus_DepreciationMortgageJurisdiction,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier. Enumerated as: F, federal, S, state, L, local, other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Document_Type,Document Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition | XBRL GL Next,BT12-11 | BT13-05 | BT11-01 | CO21-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderDocumentType | $.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DocumentType | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DocumentType,Shared Value Domain for the permitted values identified by this semantic value kind.,yes,DEFINED,Consolidated from 4 previous occurrence/source-specific Value Domain definition(s).
Entry_Qualifier,Entry Qualifier,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO22-15,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryQualifier,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Entry_Type,Entry Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BT12-09 | CO22-05,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderTypeIdentifier | $.cor_AccountingEntries.cor_EntryHeader.cor_TypeCode,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",review,DEFINED,Consolidated from 2 previous occurrence/source-specific Value Domain definition(s).
Identifier_Purpose,Identifier Purpose,shared_value_domain,String,XBRL GL Next,BT07-02 | BT06-02,,Purpose discriminator for Identifier Reference occurrences.,yes,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Identifier_Type,Identifier Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition | XBRL GL Next,BT11-04 | BT07-07 | BT06-07 | CO13-07 | TA01-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_ReferencedDocument.btx_DocumentIdentifierType | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference.cor_IdentifierType | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_OriginatingDocument.taf_DocumentIdentifierType,Shared Value Domain for the permitted values identified by this semantic value kind.,yes,DEFINED,Consolidated from 4 previous occurrence/source-specific Value Domain definition(s).
Invoice_Type,Invoice Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BT12-13 | CO21-36,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderInvoiceType | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_InvoiceType,"Invoice Type  (self-billed, ePoS enumerated values)",review,DEFINED,Consolidated from 2 previous occurrence/source-specific Value Domain definition(s).
Measurable_Class,Measurable Class,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BT13-29 | CO21-16,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailMeasurableClassIdentifier | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MeasurableClassID,"An enumerated code to identify the inventory, fixed asset or other measurable class. Enumerated as: raw material, work-in-process, finished goods, assemblies, supplies, land, building, machinery, furniture, vehicles, other.",review,DEFINED,Consolidated from 2 previous occurrence/source-specific Value Domain definition(s).
Measurable_Code,Measurable Code,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BU31-01,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailMeasurable.bus_MeasurableCode,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Organization_Type,Organization Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BT06-04 | BT07-04 | CO13-04,$.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_DetailIdentifierReference.btx_IdentifierOrganizationType | $.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference.btx_IdentifierOrganizationType | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference.cor_IdentifierOrganizationType,"Identifier Organization Type. Enumerated as: individual, organization, other.",review,DEFINED,Consolidated from 3 previous occurrence/source-specific Value Domain definition(s).
Party_Type,Party Type,shared_value_domain,Token,XBRL GL Next,BT19-18,$.btx_BusinessTransactions.btx_EntityParty.btx_EntityPartyType,Role discriminator for repeatable Entity Party occurrences.,yes,DEFINED,FSM-derived via btx:Entity_ Party specialisation; BSM BT19-18 and generated LHM/HMD semantic path verified.
Period_Unit,Period Unit,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO10-12,$.cor_AccountingEntries.cor_DocumentInformation.cor_PeriodUnit,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Phone_Number_Type,Phone Number Type,shared_value_domain,String,XBRL GL Next / inherited XBRL GL definition,BU01-02 | BU03-02 | CO01-02,$.cor_AccountingEntries.cor_EntityParty.cor_PartyPhone.bus_PhoneNumberDescription | $.cor_AccountingEntries.cor_EntityParty.cor_PartyContact.bus_ContactPhone.bus_PhoneNumberDescription | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailIdentifierReference.cor_IdentifierPhone.cor_PhoneNumberDescription,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",review,DEFINED,Consolidated from 3 previous occurrence/source-specific Value Domain definition(s).
Posting_Status,Posting Status,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BT12-18 | BT13-11 | CO21-11,$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderPostingStatus | $.btx_BusinessTransactions.btx_TransactionHeader.btx_TransactionDetail.btx_PostingStatus | $.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_PostingStatus,Shared Value Domain for the permitted values identified by this semantic value kind.,review,DEFINED,Consolidated from 3 previous occurrence/source-specific Value Domain definition(s).
Reference_Purpose,Reference Purpose,shared_value_domain,Token,XBRL GL Next,,,Purpose discriminator for Referenced Document occurrences.,yes,MODEL_EXTENSION_REQUIRED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s). btx_ReferencePurpose is used by v9/v10 selectors but no corresponding Attribute exists in the attached LHM reviewed.
Reporting_Calendar_Status,Reporting Calendar Status,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BU29-06,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarClosedStatus,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Reporting_Period_Type,Reporting Period Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,BU29-04,$.cor_AccountingEntries.cor_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriodType,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Revision_Action,Revision Action,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO10-04,$.cor_AccountingEntries.cor_DocumentInformation.cor_ActiontoTakewithPreviousData,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Serial_Lot_Type,Serial/Lot Type,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,EH01-01,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailSerialorLot.ehm_SerialorLotCode,"Is this item tracked by serial numbers or lot numbers? A serial number is usually a unique number assigned to a single; a lot or batch number is provided when a batch of items is fungible but must be differentiated from similar items from other batches. Enumerated indicator for serial or lot items. Enumeration are: serial, lot, other, neither. If not included within the class, neither is assumed.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Source_Journal,Source Journal,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO22-10,$.cor_AccountingEntries.cor_EntryHeader.cor_SourceJournal,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
Tax_Type,Tax Type,shared_value_domain,Token,XBRL GL Next,,,Tax-type discriminator for Header Tax and Detail Tax occurrences.,yes,MODEL_EXTENSION_REQUIRED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s). btx_TaxType is used by v9/v10 selectors but no corresponding Attribute exists in the attached LHM reviewed.
XBRL_Allocation,XBRL Allocation,shared_value_domain,Token,XBRL GL Next / inherited XBRL GL definition,CO18-01,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailXBRL.cor_XBRLAllocation,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",review,DEFINED,Consolidated from 1 previous occurrence/source-specific Value Domain definition(s).
UNCL1001_Document_Type,UNCL 1001 Document Type,standard_value_domain,Token,UN/CEFACT UNCL 1001 D.24A,,,Full UN/CEFACT UNCL 1001 D.24A document name code list.,false,DEFINED,Authoritative full list; 835 members.
UNCL1001_Invoice_CreditNote_Type,UNCL 1001 Invoice Credit Note Type,governed_subset,Token,UN/CEFACT UNCL 1001 D.24A; OpenPeppol subset evidence,,,Governed Invoice/Credit Note family subset of UNCL 1001 D.24A.,false,DEFINED,32 official D.24A members referenced by current Peppol Billing invoice/credit-note lists.
